Sample;W/G Name;Generation;Generation_combinedF0;Original name;Date extraction;Body part;Control;Condition;Fragmented;Storage;WNV;USUV;Water%;Comment_water;Food_larvae;Bloodmeal;WTA conc;Antibiotic;Origin;Taxonomy;Experiment
LS1;;F6;F6;;06.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;145;NA;;Culex;LS
LS10;;F6;F6;;10.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;128;NA;;Culex;LS
LS11;;F5;F5;;10.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;173;NA;;Culex;LS
LS12;;F8;F8;;10.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;46.6;NA;;Culex;LS
LS13;;F7;F7;;10.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;179;NA;;Culex;LS
LS15;;F8;F8;;10.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;87;NA;;Culex;LS
LS16;;F5;F5;;10.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;140;NA;;Culex;LS
LS17;;F7;F7;;11.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;172;NA;;Culex;LS
LS18;;F8;F8;;11.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;160;NA;;Culex;LS
LS19;;F6;F6;;11.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;158;NA;;Culex;LS
LS2;;F8;F8;;06.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;95;NA;;Culex;LS
LS20;;F6;F6;;11.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;159;NA;;Culex;LS
LS21;;F3;F3;;11.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;136;NA;;Culex;LS
LS22;;F5;F5;;11.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;139;NA;;Culex;LS
LS24;;F3;F3;;11.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;140;NA;;Culex;LS
